trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.4, 'e': 0.7350879023813411}",30,0,-29.446338725101235,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
150,False,"{'a': 0.4, 'e': 0.7316888688738208}",20,0,-36.08644446373971,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.4, 'e': 0.7282715431826873}",25,0,-13.934737831922892,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.4, 'e': 0.7248360107409051}",25,0,-77.33001437333655,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.7213823574366062}",20,0,-120.41547089096697,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
154,False,"{'a': 0.4, 'e': 0.7179106696109433}",25,0,-71.01767935691339,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.4, 'e': 0.7144210340559313}",30,0,-32.8348527633811,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.7109135380122773}",20,0,-90.57484598869597,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
157,False,"{'a': 0.4, 'e': 0.7073882691671997}",20,0,-35.29222523351485,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.4, 'e': 0.703845315652236}",25,0,-62.57835457058848,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
159,False,"{'a': 0.4, 'e': 0.7002847660410396}",25,0,-145.77650116626074,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
160,False,"{'a': 0.4, 'e': 0.6967067093471653}",35,10,-62.1849444010414,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
161,False,"{'a': 0.4, 'e': 0.6931112350218441}",20,0,-56.2245032925825,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
