state1,state2,state3,state4,action,reward
red, left, left, right,None,0.55
red, left, left, right,left,0.00
red, forward, notraffic, forward,forward,0.00
red, forward, notraffic, forward,right,0.00
red, forward, notraffic, forward,None,1.40
red, forward, notraffic, forward,left,0.00
green, notraffic, right, forward,forward,0.81
green, notraffic, right, forward,right,0.00
green, notraffic, right, forward,None,-2.57
green, notraffic, right, forward,left,-9.74
green, right, notraffic, right,forward,0.00
green, right, notraffic, right,right,1.07
green, right, notraffic, right,None,0.00
green, right, notraffic, right,left,0.00
red, notraffic, right, right,forward,0.00
red, notraffic, right, right,right,0.00
red, notraffic, right, right,None,0.00
red, notraffic, right, right,left,0.00
green, left, notraffic, right,forward,0.00
green, left, notraffic, right,right,1.80
green, left, notraffic, right,None,-3.60
green, left, notraffic, right,left,0.00
green, right, notraffic, left,forward,0.00
green, right, notraffic, left,right,0.00
green, right, notraffic, left,None,0.00
green, right, notraffic, left,left,0.48
green, left, forward, right,forward,0.00
green, left, forward, right,right,0.00
green, left, forward, right,None,-2.46
green, left, forward, right,left,0.00
green, left, right, right,forward,0.00
green, left, right, right,right,1.09
green, left, right, right,None,0.00
green, left, right, right,left,0.00
green, forward, notraffic, left,forward,-0.09
green, forward, notraffic, left,right,-0.00
green, forward, notraffic, left,None,-2.60
green, forward, notraffic, left,left,1.62
red, right, left, left,forward,-5.25
red, right, left, left,right,0.91
red, right, left, left,None,0.84
red, right, left, left,left,-5.29
red, left, forward, left,forward,0.00
red, left, forward, left,right,0.27
red, left, forward, left,None,0.00
red, left, forward, left,left,-5.08
green, forward, forward, forward,forward,1.01
green, forward, forward, forward,right,0.00
green, forward, forward, forward,None,0.00
green, forward, forward, forward,left,0.00
red, forward, right, left,forward,-19.90
red, forward, right, left,right,0.00
red, forward, right, left,None,0.71
red, forward, right, left,left,-20.36
green, notraffic, right, left,forward,0.81
green, notraffic, right, left,right,0.00
green, notraffic, right, left,None,0.00
green, notraffic, right, left,left,0.00
red, notraffic, left, forward,forward,-5.44
red, notraffic, left, forward,right,0.00
red, notraffic, left, forward,None,1.38
red, notraffic, left, forward,left,-5.15
red, notraffic, left, left,forward,-20.38
red, notraffic, left, left,right,0.04
red, notraffic, left, left,None,2.07
red, notraffic, left, left,left,-4.73
red, forward, notraffic, left,forward,0.00
red, forward, notraffic, left,right,0.00
red, forward, notraffic, left,None,2.26
red, forward, notraffic, left,left,-19.60
green, notraffic, notraffic, left,forward,0.60
green, notraffic, notraffic, left,right,0.48
green, notraffic, notraffic, left,None,-4.11
green, notraffic, notraffic, left,left,1.23
red, left, forward, forward,forward,0.00
red, left, forward, forward,right,0.11
red, left, forward, forward,None,0.00
red, left, forward, forward,left,0.00
red, left, right, left,forward,0.00
red, left, right, left,right,0.11
red, left, right, left,None,0.00
red, left, right, left,left,0.00
green, left, notraffic, forward,forward,1.22
green, left, notraffic, forward,right,0.48
green, left, notraffic, forward,None,0.00
green, left, notraffic, forward,left,0.00
