state1,state2,state3,state4,action,reward
red, left, left, left,forward,-4.24
red, left, left, left,right,1.08
red, left, left, left,None,1.85
red, left, left, left,left,-7.33
green, right, right, left,forward,0.71
green, right, right, left,right,0.00
green, right, right, left,None,0.00
green, right, right, left,left,0.00
green, right, forward, right,forward,0.48
green, right, forward, right,right,1.96
green, right, forward, right,None,-4.29
green, right, forward, right,left,0.00
red, notraffic, forward, right,forward,-9.97
red, notraffic, forward, right,right,1.65
red, notraffic, forward, right,None,0.62
red, notraffic, forward, right,left,-10.02
green, left, notraffic, left,forward,0.75
green, left, notraffic, left,right,0.41
green, left, notraffic, left,None,-5.26
green, left, notraffic, left,left,2.00
red, forward, left, left,forward,-16.19
red, forward, left, left,right,-19.34
red, forward, left, left,None,1.64
red, forward, left, left,left,-25.50
red, right, right, left,forward,-6.17
red, right, right, left,right,0.29
red, right, right, left,None,1.28
red, right, right, left,left,-25.69
red, forward, notraffic, forward,forward,-40.13
red, forward, notraffic, forward,right,-20.27
red, forward, notraffic, forward,None,1.73
red, forward, notraffic, forward,left,-39.76
red, notraffic, right, right,forward,-10.33
red, notraffic, right, right,right,1.71
red, notraffic, right, right,None,0.36
red, notraffic, right, right,left,-38.83
green, left, right, right,forward,0.12
green, left, right, right,right,1.61
green, left, right, right,None,0.00
green, left, right, right,left,-15.64
red, right, right, right,forward,-4.38
red, right, right, right,right,0.00
red, right, right, right,None,-0.14
red, right, right, right,left,0.00
green, right, left, right,forward,0.18
green, right, left, right,right,0.76
green, right, left, right,None,-2.16
green, right, left, right,left,0.72
red, left, forward, forward,forward,-22.02
red, left, forward, forward,right,0.58
red, left, forward, forward,None,1.76
red, left, forward, forward,left,-16.00
green, forward, notraffic, right,forward,0.89
green, forward, notraffic, right,right,2.53
green, forward, notraffic, right,None,-4.91
green, forward, notraffic, right,left,1.25
green, notraffic, right, left,forward,0.12
green, notraffic, right, left,right,1.30
green, notraffic, right, left,None,-4.89
green, notraffic, right, left,left,-17.36
green, left, notraffic, forward,forward,1.44
green, left, notraffic, forward,right,0.62
green, left, notraffic, forward,None,-5.12
green, left, notraffic, forward,left,1.43
red, notraffic, notraffic, left,forward,-10.66
red, notraffic, notraffic, left,right,0.93
red, notraffic, notraffic, left,None,2.11
red, notraffic, notraffic, left,left,-12.39
green, notraffic, left, left,forward,1.11
green, notraffic, left, left,right,0.67
green, notraffic, left, left,None,-4.89
green, notraffic, left, left,left,1.28
green, forward, right, forward,forward,2.20
green, forward, right, forward,right,0.57
green, forward, right, forward,None,-4.62
green, forward, right, forward,left,-7.99
green, forward, notraffic, forward,forward,2.28
green, forward, notraffic, forward,right,0.71
green, forward, notraffic, forward,None,-4.94
green, forward, notraffic, forward,left,1.32
red, forward, forward, forward,forward,-25.07
red, forward, forward, forward,right,-17.31
red, forward, forward, forward,None,1.88
red, forward, forward, forward,left,-15.73
red, notraffic, right, left,forward,-11.70
red, notraffic, right, left,right,0.67
red, notraffic, right, left,None,1.70
red, notraffic, right, left,left,-36.96
green, right, right, forward,forward,0.00
green, right, right, forward,right,0.74
green, right, right, forward,None,0.00
green, right, right, forward,left,-13.32
red, notraffic, left, forward,forward,-14.50
red, notraffic, left, forward,right,0.62
red, notraffic, left, forward,None,2.00
red, notraffic, left, forward,left,-10.79
green, left, forward, forward,forward,0.48
green, left, forward, forward,right,1.03
green, left, forward, forward,None,-2.23
green, left, forward, forward,left,-12.27
red, notraffic, right, forward,forward,-10.08
red, notraffic, right, forward,right,1.50
red, notraffic, right, forward,None,2.34
red, notraffic, right, forward,left,-40.09
green, forward, forward, left,forward,0.56
green, forward, forward, left,right,-0.06
green, forward, forward, left,None,0.00
green, forward, forward, left,left,-17.38
red, left, left, forward,forward,-9.06
red, left, left, forward,right,0.10
red, left, left, forward,None,1.87
red, left, left, forward,left,-3.95
green, notraffic, right, forward,forward,1.50
green, notraffic, right, forward,right,0.39
green, notraffic, right, forward,None,-4.51
green, notraffic, right, forward,left,-19.36
green, right, notraffic, left,forward,0.89
green, right, notraffic, left,right,1.05
green, right, notraffic, left,None,-5.12
green, right, notraffic, left,left,1.40
green, forward, notraffic, left,forward,0.59
green, forward, notraffic, left,right,1.03
green, forward, notraffic, left,None,-5.45
green, forward, notraffic, left,left,2.30
red, left, notraffic, left,forward,-12.54
red, left, notraffic, left,right,0.43
red, left, notraffic, left,None,1.76
red, left, notraffic, left,left,-22.40
red, forward, notraffic, left,forward,-40.03
red, forward, notraffic, left,right,-20.39
red, forward, notraffic, left,None,1.85
red, forward, notraffic, left,left,-39.94
green, left, left, left,forward,0.83
green, left, left, left,right,0.74
green, left, left, left,None,-4.22
green, left, left, left,left,1.92
green, notraffic, notraffic, forward,forward,1.92
green, notraffic, notraffic, forward,right,0.42
green, notraffic, notraffic, forward,None,-5.21
green, notraffic, notraffic, forward,left,0.41
red, right, notraffic, right,forward,-9.14
red, right, notraffic, right,right,1.56
red, right, notraffic, right,None,0.52
red, right, notraffic, right,left,-20.97
green, notraffic, left, right,forward,0.87
green, notraffic, left, right,right,1.53
green, notraffic, left, right,None,-4.44
green, notraffic, left, right,left,0.74
red, forward, right, left,forward,-34.58
red, forward, right, left,right,-12.80
red, forward, right, left,None,1.51
red, forward, right, left,left,-34.77
red, forward, left, right,forward,-38.53
red, forward, left, right,right,-15.84
red, forward, left, right,None,0.54
red, forward, left, right,left,-31.48
red, left, right, left,forward,0.00
red, left, right, left,right,0.26
red, left, right, left,None,1.55
red, left, right, left,left,-25.31
green, left, left, right,forward,0.24
green, left, left, right,right,0.18
green, left, left, right,None,-5.19
green, left, left, right,left,0.13
red, notraffic, left, right,forward,-23.27
red, notraffic, left, right,right,1.49
red, notraffic, left, right,None,0.47
red, notraffic, left, right,left,-9.77
green, forward, left, forward,forward,2.03
green, forward, left, forward,right,0.71
green, forward, left, forward,None,-1.73
green, forward, left, forward,left,0.56
red, forward, right, forward,forward,0.00
red, forward, right, forward,right,-7.74
red, forward, right, forward,None,1.65
red, forward, right, forward,left,-31.20
green, forward, right, left,forward,0.32
green, forward, right, left,right,0.18
green, forward, right, left,None,-4.74
green, forward, right, left,left,-12.95
red, forward, forward, right,forward,-36.72
red, forward, forward, right,right,-8.22
red, forward, forward, right,None,1.05
red, forward, forward, right,left,-25.98
green, forward, forward, right,forward,0.36
green, forward, forward, right,right,1.24
green, forward, forward, right,None,-3.45
